epoch,step,train/acc,train/loss,val/acc,val/loss
0,37,,,0.11749999970197678,3.6201083660125732
0,37,0.038333334028720856,3.8303768634796143,,
1,75,,,0.17499999701976776,3.2979276180267334
1,75,0.09833333641290665,3.5274548530578613,,
2,113,,,0.22750000655651093,3.0902578830718994
2,113,0.1274999976158142,3.329390287399292,,
3,151,,,0.2475000023841858,2.9188222885131836
3,151,0.1574999988079071,3.166081428527832,,
4,189,,,0.2874999940395355,2.783682346343994
4,189,0.19166666269302368,3.007107973098755,,
5,227,,,0.3149999976158142,2.6575567722320557
5,227,0.22833333909511566,2.8429462909698486,,
6,265,,,0.3400000035762787,2.5599117279052734
6,265,0.2608333230018616,2.7222652435302734,,
7,303,,,0.3425000011920929,2.4715163707733154
7,303,0.28583332896232605,2.613323450088501,,
8,341,,,0.33000001311302185,2.409325122833252
8,341,0.289166659116745,2.5369789600372314,,
9,379,,,0.41749998927116394,2.3301784992218018
9,379,0.3258333206176758,2.4306371212005615,,
10,417,,,0.4099999964237213,2.2422196865081787
10,417,0.3558333218097687,2.3415422439575195,,
11,455,,,0.4099999964237213,2.1736676692962646
11,455,0.3799999952316284,2.2634170055389404,,
12,493,,,0.38749998807907104,2.173246145248413
12,493,0.4000000059604645,2.2005186080932617,,
13,531,,,0.44749999046325684,2.0492990016937256
13,531,0.41083332896232605,2.1313679218292236,,
14,569,,,0.46000000834465027,1.980405569076538
14,569,0.4216666519641876,2.082618474960327,,
15,607,,,0.48249998688697815,1.947359561920166
15,607,0.4558333456516266,1.9625393152236938,,
16,645,,,0.4650000035762787,1.9192206859588623
16,645,0.4866666793823242,1.9003005027770996,,
17,683,,,0.4625000059604645,1.8602432012557983
17,683,0.5,1.834607720375061,,
18,721,,,0.4950000047683716,1.7746394872665405
18,721,0.5149999856948853,1.7965795993804932,,
19,759,,,0.4975000023841858,1.7546660900115967
19,759,0.5166666507720947,1.7266099452972412,,
20,797,,,0.45750001072883606,1.8689548969268799
20,797,0.550000011920929,1.6696343421936035,,
21,835,,,0.5525000095367432,1.6631680727005005
21,835,0.5133333206176758,1.6483001708984375,,
22,873,,,0.48750001192092896,1.6879260540008545
22,873,0.5400000214576721,1.6265002489089966,,
